booking_id,ticket_id,user_id,num_tickets,price,payment_method,booking_time,ip_address,is_refunded,is_flagged_suspicious
booking_00000,TKT411657,user_039,2,1000,credit_card,2024-06-12 00:00:00,89.198.142.4,False,False
booking_00001,TKT435335,user_026,1,500,debit_card,2024-08-23 00:00:00,32.57.206.79,False,False
booking_00002,TKT955486,user_000,2,1000,credit_card,2024-01-05 00:00:00,51.52.249.50,False,False
booking_00003,TKT467841,user_046,4,2000,debit_card,2023-05-05 00:00:00,172.66.239.22,False,False
booking_00004,TKT077115,user_003,3,1500,debit_card,2023-09-29 00:00:00,178.184.255.55,False,False
booking_00005,TKT505993,user_028,2,1000,credit_card,2024-11-18 00:00:00,117.40.232.18,False,False
booking_00006,TKT719143,user_043,1,500,paypal,2023-11-11 00:00:00,62.55.169.162,False,False
booking_00007,TKT442949,user_043,1,500,debit_card,2023-01-13 00:00:00,62.55.169.162,False,False
booking_00008,TKT687438,user_034,3,1500,debit_card,2023-03-09 00:00:00,233.237.31.92,False,False
booking_00009,TKT084862,user_030,3,1500,credit_card,2023-09-20 00:00:00,195.136.248.183,False,False
booking_00010,TKT449899,user_045,11,5500,paypal,2023-04-23 00:00:00,125.220.70.251,False,True
booking_00011,TKT399186,user_021,1,500,paypal,2023-12-04 00:00:00,1.14.253.133,False,False
booking_00012,TKT567085,user_036,5,2500,debit_card,2025-02-09 00:00:00,215.209.194.215,False,True
booking_00013,TKT824694,user_048,2,1000,credit_card,2025-01-21 00:00:00,49.93.64.62,False,False
booking_00014,TKT917498,user_008,2,1000,debit_card,2024-07-19 00:00:00,123.73.119.244,False,False
booking_00015,TKT817082,user_004,1,500,paypal,2023-07-18 00:00:00,250.73.65.172,False,False
booking_00016,TKT061959,user_018,3,1500,paypal,2024-06-28 00:00:00,14.185.228.78,False,False
booking_00017,TKT153748,user_032,2,1000,debit_card,2023-01-28 00:00:00,241.35.30.76,False,False
booking_00018,TKT963127,user_001,3,1500,credit_card,2025-04-03 00:00:00,195.169.150.165,False,False
booking_00019,TKT985609,user_024,13,6500,paypal,2023-05-29 01:58:00,156.123.89.51,False,True
booking_00020,TKT919449,user_038,1,500,paypal,2023-04-29 00:00:00,196.114.31.4,False,False
booking_00021,TKT345502,user_045,4,2000,paypal,2024-05-20 00:00:00,125.220.70.251,False,False
